Timestamp_Seconds,X_Raw,Y_Raw,Z_Raw,X_Corrected,Y_Corrected,Z_Corrected,Magnitude
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
,,,,-2089,0,0,2089
